ID,MENU,PRICE,NAME,DESCRIPTION,KEY
30,2,7.50,"S2. SHRIMP MANGO SALAD","-Shrimp, fresh shredded mango mixed w/ onions, red/ green peppers and cashews tossed with tamarind vinaigrette
",
29,2,6.50,"S3. CHICKEN MANGO SALAD","-Chicken, fresh shredded mango mixed w/ onions, red/ green peppers and cashews tossed with tamarind vinaigrette
",
32,2,6.00,"S4. *VEGGIE MANGO SALAD","-Fresh shredded mango mixed w/ onions, red/ green peppers and cashews tossed with tamarind vinaigrette
",
34,3,6.00,"*WONTON SOUP","-Chicken and shrimp wontons in chicken broth","SO1 "
35,3,0.00,"TOM YUM SOUP",,"SO2 "
36,3,6.00,"Tofu Vegetable",,"SO2_A "
37,3,6.50,Chicken,,"SO2_B "
38,3,7.00,Shrimp,,"SO2_C "
41,3,7.50,"Shrimp and Chicken",,"SO2_D "
42,3,0.00,"SO3. COCONUT TOM YUM SOUP",,
43,3,6.00,"A) Tofu Vegetable",,
44,3,6.50,"B) Chicken",,
45,3,7.00,"C) Shrimp",,
46,3,7.50,"D) Shrimp and Chicken",,
48,3,8.50,"SO4. SEAFOOD EGG NOODLE SOUP (Mi hai san)","-Mixed seafood, egg noodle in chicken broth",
49,3,7.50,"SO5. WONTON EGG NOODLE SOUP (Wonton Mi)	","-Egg noodle, chicken and shrimp wontons in chicken broth",
50,3,8.50,"SO6. *THAI STYLE SEAFOOD RICE NOODLE SOUP (Pho Thai)","-Rice noodle w/ shrimp, calamari, mussels, crab and fish ball",
68,4,8.50,"V1. Grilled Beef and Spring Roll<br>Bun Bo va cha gio",,
53,1,11.00,"*SIGNATURE  PLATTER  (Đặc biệt)","- Crispy shrimp spring roll (1),<br>- Crispy chicken spring roll (1),<br>- Crispy Calamari (4),<br>- Crispy wonton (4), Fresh rolls (2)","A1 "
54,1,4.25,"A2. *CRISPY SHRIMP SPRING ROLLS (2) (Chả giò tôm)","-Marinated tiger shrimp and mixed vegetables",
55,1,4.00,"A3. *CRISPY CHICKEN SPRING ROLLS (2) (Cha gio ga)","-Ground chicken and mixed vegetables ",
56,1,4.00,"A4. CRISPY VEGETABLE SPRING ROLLS (2) (Cha gio chay)","- Mixed vegetables",
57,1,4.00,"A5. *FRESH ROLLS (2) (Goi cuon nem nuong)","-Rice paper with BBQ grilled pork sausage and vermicelli",
58,1,4.25,"A6. SHRIMP ","-Rice paper with shrimp, pork, vegetables and vermicelli",
59,1,4.00,"A7. TOFU ","-Rice paper with crispy tofu, vegetables and vermicelli",
60,1,5.50,"A8. *CHICKEN SATAY SKEWERS (2)( Ga sa-te)","-Marinated with Thai spices and grilled, served with peanut sauce",
61,1,6.00,"A9. SHRIMP SATAY SKEWERS (2) (Tom sa-te)","-Marinated with Thai spices and grilled, served with peanut sauce",
62,1,6.00,"A10. CRISPY TIGER SHRIMPS (5) (Tom chien gion)","-Crispy breaded tiger shrimps",
63,1,7.00,"A11. CRISPY CALAMARI (10) (Muc chien gion)","-Lightly seasoned crispy calamari",
221,1,8.50,"A14. CLAMS WITH BLACK BEAN SAUCE","-Stir-fried and marinated with house spices",
65,1,6.00,"A12. CRISPY TOFU(Tau hu chien)","-Crispy marinated tofu",
220,1,6.00,"A13. CRISPY WONTON","-Crispy marinated, stuffed chicken/shrimp wontons",
69,8,0.00,"T1. PAD THAI","Rice noodles in lime juice, tamarind and tomato sauce, eggs, bean sprouts and peanuts",
70,8,9.50,"A) Tofu and Vegetable",,
71,4,8.50,"V2. *Grilled Chicken and Spring Roll<br>Bun Ga va cha gio",,
72,4,8.50,"V3. *Grilled Pork and Spring Roll<br>Bun Thit nuong va cha gio",,
73,4,8.50,"V4. Grilled Beef<br>Bun Bo	",,
74,4,8.50,"V5. Grilled Chicken<br>Bun Ga",,
75,4,8.50,"V6. Grilled Pork<br>Bun thit nuong	",,
76,4,9.50,"V7. Stir Fried Lemon Grass with Beef or Chicken and Spicy Chili<br>Bun bo hoac ga xao xa ot ",,
78,5,8.50,"G1. Grilled Beef<br>Com Bo",,
79,5,8.50,"G2. Grilled Chicken<br>Com Ga",,
80,5,8.50,"G3. Grilled Pork Chop<br>Com Suon",,
230,8,9.50,"A) Tofu and Vegetable",,
82,5,8.00,"G4. *Grilled Beef and Fried Egg<br>Com Bo va Op la",,
83,5,8.00,"G5. *Grilled Chicken and Fried Egg<br>Com Ga va Op La",,
84,5,8.00,"G6. Grilled Pork Chop and Fried Egg<br>Com Suon va Op La",,
85,5,8.50,"G7. Grilled Pork Chop and Grilled Chicken<br>Com Suon va Ga nuong",,
86,5,8.50,"G8. Grilled Beef and Grilled Chicken<br>Com Suon va Ga nuong",,
229,8,0.00,"T5. PEANUT CURRY","Roasted peanuts, lime leaves and mixed vegetable in Thai spicy curry",
89,6,7.50,"P1. *House Special Rice Noodle Soup<br>Pho dac biet",,
90,6,7.50,"P2. House Special Satay Rice Noodle Soup<br>Pho sa-te dac biet",,
91,6,7.50,"P3. *Chicken Rice Noodle Soup<br>Pho ga",,
92,6,7.50,"P4. Chicken and Well Done Beef Rice Noodle Soup<br>Pho ga,nam",,
93,6,7.50,"P5. *Rare Beef Rice Noodle Soup<br>Pho tai",,
94,6,7.50,"P6. Rare Beef and Well Done Beef Rice Noodle Soup<br>Pho tai,nam",,
95,6,7.50,"P7. Rare Beef and Tripe Rice Noodle Soup<br> Pho tai, xach",,
96,6,7.50,"P8. Rare Beef and Beef Balls Rice Noodle Soup<br>Pho tai, bo vien",,
97,6,7.50,"P9. Well Done Beef Rice Noodle Soup<br>Pho nam",,
98,6,7.50,"P10. *Well Done Beef and Tripe Rice Noodle Soup<br>Pho nam, xach",,
99,6,7.50,"P11. Well Done Beef and Beef Balls Rice Noodle Soup<br>Pho nam, bo vien",,
