ID,MENU,PRICE,KEY,NAME,DESCRIPTION
34,3,7,SO1,SO1. *WONTON SOUP,Chicken and shrimp wontons in Chicken broth
35,3,0,SO2,TOM YUM SOUP,
36,3,7.5,SO2_A,A) Tofu Vegetable,
37,3,7.5,SO2_B,B) Chicken,
38,3,8.5,SO2_C,C) Shrimp,
41,3,8.5,SO2_D,D) Shrimp and Chicken,
42,3,0,SO3,COCONUT TOM YUM SOUP,
43,3,7.5,SO3_A,A) Tofu Vegetable,
44,3,7.5,SO3_B,B) Chicken,
45,3,8.5,SO3_C,C) Shrimp,
46,3,8.5,SO3_D,D) Shrimp and Chicken,
48,3,10,SO4,SO4. SEAFOOD EGG NOODLE SOUP (Mi hai san),"Mixed seafood, egg noodle in Chicken broth"
49,3,9,SO5,"SO5. WONTON EGG NOODLE SOUP (Wonton Mi)	","egg noodle, Chicken and shrimp wontons in Chicken broth"
50,3,10,SO6,SO6. *THAI STYLE SEAFOOD RICE NOODLE SOUP (Pho Thai),"Rice noodle w/ shrimp, calamari, mussels, crab and fish ball"
53,1,12,A1,A1.  *SIGNATURE  PLATTER,"- Crispy shrimp spring roll (1),<br>- Crispy chicken spring roll (1),<br>- Crispy Calamari (4),<br>- Crispy wonton (4), Fresh rolls (2)"
54,1,6,A2,A2. *CRISPY SHRIMP SPRING ROLLS (2),Marinated tiger shrimp and Mixed vegetables
55,1,5,A3,A3. *CRISPY CHICKEN SPRING ROLLS (2),Ground Chicken and Mixed vegetables
56,1,5,A4,A4. CRISPY VEGETABLE SPRING ROLLS (2),Mixed vegetables
57,1,5,A5,A5. *FRESH ROLLS (2),Rice paper with BBQ grilled pork sausage and vermicelli
58,1,5,A6,A6. *SHRIMP ,"Rice paper with shrimp, pork, vegetables and vermicelli"
68,4,10,V1,V1. Grilled Beef and Spring Roll<br>Bun Bo va cha gio,
69,8,0,T1,T1. *PAD THAI,"Thai rice noodles, egg, bean sprouts, carrots and onions in tamarind and tomato sauce. Garnished with roasted peanuts."
70,8,12,T1_A,A) Tofu and Vegetable,
71,4,10,V2,V2. *Grilled Chicken and Spring Roll<br>Bun Ga va cha gio,
72,4,10,V3,V3. *Grilled Pork and Spring Roll<br>Bun Thit nuong va cha gio,
