ID,MENU,PRICE,NAME,DESCRIPTION
34,3,7.00,"SO1. *WONTON SOUP","-Chicken and shrimp wontons in chicken broth"
35,3,0.00,"SO2. TOM YUM SOUP",
36,3,7.50,"A) Tofu Vegetable",
37,3,7.50,"B) Chicken",
38,3,8.50,"C) Shrimp",
41,3,8.50,"D) Shrimp and Chicken",
42,3,0.00,"SO3. COCONUT TOM YUM SOUP",
43,3,7.50,"A) Tofu Vegetable",
44,3,7.50,"B) Chicken",
45,3,8.50,"C) Shrimp",
46,3,8.50,"D) Shrimp and Chicken",
48,3,10.00,"SO4. SEAFOOD EGG NOODLE SOUP (Mi hai san)","-Mixed seafood, egg noodle in chicken broth"
49,3,9.00,"SO5. WONTON EGG NOODLE SOUP (Wonton Mi)	","-Egg noodle, chicken and shrimp wontons in chicken broth"
50,3,10.00,"SO6. *THAI STYLE SEAFOOD RICE NOODLE SOUP (Pho Thai)","-Rice noodle w/ shrimp, calamari, mussels, crab and fish ball"
53,1,12.00,"A1.  *SIGNATURE  PLATTER","- Crispy shrimp spring roll (1),<br>- Crispy chicken spring roll (1),<br>- Crispy Calamari (4),<br>- Crispy wonton (4), Fresh rolls (2)"
54,1,6.00,"A2. *CRISPY SHRIMP SPRING ROLLS (2)","-Marinated tiger shrimp and mixed vegetables"
55,1,5.00,"A3. *CRISPY CHICKEN SPRING ROLLS (2)","-Ground chicken and mixed vegetables"
56,1,5.00,"A4. CRISPY VEGETABLE SPRING ROLLS (2)","- Mixed vegetables"
57,1,5.00,"A5. *FRESH ROLLS (2)","-Rice paper with BBQ grilled pork sausage and vermicelli"
58,1,5.00,"A6. *SHRIMP ","-Rice paper with shrimp, pork, vegetables and vermicelli"
68,4,10.00,"V1. Grilled Beef and Spring Roll<br>Bun Bo va cha gio",
69,8,0.00,"T1. *PAD THAI","Thai rice noodles, egg, bean sprouts, carrots and onions in tamarind and tomato sauce. Garnished with roasted peanuts."
70,8,12.00,"A) Tofu and Vegetable",
71,4,10.00,"V2. *Grilled Chicken and Spring Roll<br>Bun Ga va cha gio",
72,4,10.00,"V3. *Grilled Pork and Spring Roll<br>Bun Thit nuong va cha gio",
73,4,10.00,"V4. Grilled Beef<br>Bun Bo	",
74,4,10.00,"V5. Grilled Chicken<br>Bun Ga",
75,4,10.00,"V6. Grilled Pork<br>Bun thit nuong	",
76,4,0.00,"V7. Stir Fried Lemon Grass with Beef or Chicken and Spicy Chili<br>Bun bo hoac ga xao xa ot ",
78,5,10.00,"G1. Grilled Beef<br>Com Bo",
79,5,10.00,"G2. Grilled Chicken<br>Com Ga",
80,5,10.00,"G3. Grilled Pork Chop<br>Com Suon",
82,5,10.00,"G4. *Grilled Beef and Fried Egg<br>Com Bo va Op la",
83,5,10.00,"G5. *Grilled Chicken and Fried Egg<br>Com Ga va Op La",
84,5,10.00,"G6. Grilled Pork Chop and Fried Egg<br>Com Suon va Op La",
85,5,10.00,"G7. Grilled Pork Chop and Grilled Chicken<br>Com Suon va Ga nuong",
86,5,10.00,"G8. Grilled Beef and Grilled Chicken<br>Com Suon va Ga nuong",
104,9,6.50,"D1. *Fried Bananas W/ Honey, Sesame Seeds and Vanilla Ice Cream",
105,9,6.50,"D2. Fried Bananas Sticky Rice w/ coconut cream",
107,10,3.50,"B1. *Filtered Vietnamese Coffee with Condensed Milk and Ice",
108,10,3.50,"B2. Filtered Vietnamese Hot Coffee with Condensed Milk",
110,10,2.50,"B3. Orange, Apple, Mango Juice",
111,10,3.00,"B4. Perrier Spakling Bottle Water",
112,10,1.50,"B5. Spring Water (Bottle)",
113,10,1.50,"B6. Soft Drinks","(Coke, Diet Coke, Sprite, Ginger Ale, Nestea, Orange C- Plus)"
114,10,4.00,"B7. Fresh Fruit Shakes","(Avocado, Strawberry, Mango, Jackfruit)"
115,10,4.00,"B8. Mint Lemonade",
116,7,12.00,"Zz1. *Sizzling Chicken with Vegetables","(Your choice of: Satay sauce or black bean sauce)"
120,11,0.00,"F1. STIR FRIED BASIL EGGPLANT","Stir fried roasted eggplant w/ mixed vegetables in basil sauce. Served w/ steamed rice"
121,11,12.00,"A) Tofu and Vegetable",
122,11,12.00,"B) Chicken",
123,11,12.00,"C) Beef",
124,11,13.00,"D) Tiger Shrimp",
125,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
126,8,12.00,"B) Chicken",
127,8,12.00,"C) Beef",
128,8,13.00,"D) Tiger Shrimp",
129,8,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
130,8,0.00,"T2. *THAI RED OR GREEN CURRY","Red chili curry, mushrooms, eggplant and mixed vegetable served with rice"
131,8,12.00,"A) Tofu and Vegetable",
132,8,12.00,"B) Chicken",
133,8,12.00,"C) Beef",
134,8,13.00,"D) Tiger Shrimp",
135,8,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
136,8,0.00,"T3. SPICY GOLDEN CURRY","Mixed peppers and onions, lemongrass, red chili in Thai curry"
137,8,12.00,"A) Tofu and Vegetable",
138,8,12.00,"B) Chicken",
139,8,12.00,"C) Beef",
140,8,13.00,"D) Tiger Shrimp",
141,8,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
142,8,0.00,"T4. PEANUT CURRY","Mixed vegetables, mushrooms, roasted peanut in special home-made Thai curry"
143,8,12.00,"A) Tofu and Vegetable",
144,8,12.00,"B) Chicken",
145,8,12.00,"C) Beef",
147,8,13.00,"D) Tiger Shrimp",
148,8,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
149,11,0.00,"F2. SPICY BASIL FRIED RICE","Fried rice with Thai basil leaf in spicy soya sauce"
150,11,12.00,"A) Tofu and Vegetable",
151,11,12.00,"B) Chicken",
152,11,12.00,"C) Beef",
153,11,13.00,"D) Tiger Shrimp",
154,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
155,11,0.00,"F3. PHUKET MANGO","Stir fried fresh mango with ginger, soya sauce, roasted garlic served w/ rice"
156,11,12.00,"A) Tofu and Vegetable",
157,11,12.00,"B) Chicken",
158,11,12.00,"C) Beef",
159,11,13.00,"D) Tiger Shrimp",
160,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
167,11,0.00,"F4. “NOODLE HOUSE” FRIED RICE","Stir fried with eggs, mixed beans and vegetables"
168,11,12.00,"A) Tofu and Vegetable",
169,11,12.00,"B) Chicken",
170,11,12.00,"C) Beef",
171,11,13.00,"D) Tiger Shrimp",
172,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
173,11,0.00,"F5. *STIR FRIED CASHEWS NUTS","Served with vegetables and steam rice"
174,11,12.00,"A) Tofu and Vegetable",
175,11,12.00,"B) Chicken",
176,11,12.00,"C) Beef",
177,11,13.00,"D) Tiger Shrimp",
