ID,MENU,PRICE,NAME,DESCRIPTION,KEY
34,3,7,SO1. *WONTON SOUP,-Chicken and shrimp wontons in chicken broth,SO1
35,3,0,SO2. TOM YUM SOUP,,SO2
36,3,7.5,A) Tofu Vegetable,,SO1A
37,3,7.5,B) Chicken,,SO1B
38,3,8.5,C) Shrimp,,SO1C
41,3,8.5,D) Shrimp and Chicken,,SO1D
42,3,0,SO3. COCONUT TOM YUM SOUP,,SO3
43,3,7.5,A) Tofu Vegetable,,SO3A
44,3,7.5,B) Chicken,,SO3B
45,3,8.5,C) Shrimp,,SO3C
46,3,8.5,D) Shrimp and Chicken,,SO3D
48,3,10,SO4. SEAFOOD EGG NOODLE SOUP (Mi hai san),"-Mixed seafood, egg noodle in chicken broth",SO4
49,3,9,"SO5. WONTON EGG NOODLE SOUP (Wonton Mi)	","-Egg noodle, chicken and shrimp wontons in chicken broth",SO5
50,3,10,SO6. *THAI STYLE SEAFOOD RICE NOODLE SOUP (Pho Thai),"-Rice noodle w/ shrimp, calamari, mussels, crab and fish ball",SO6
53,1,12,A1.  *SIGNATURE  PLATTER,"- Crispy shrimp spring roll (1),<br>- Crispy chicken spring roll (1),<br>- Crispy Calamari (4),<br>- Crispy wonton (4), Fresh rolls (2)",A1
54,1,6,A2. *CRISPY SHRIMP SPRING ROLLS (2),-Marinated tiger shrimp and mixed vegetables,A2
55,1,5,A3. *CRISPY CHICKEN SPRING ROLLS (2),-Ground chicken and mixed vegetables,A3
56,1,5,A4. CRISPY VEGETABLE SPRING ROLLS (2),- Mixed vegetables,A4
57,1,5,A5. *FRESH ROLLS (2),-Rice paper with BBQ grilled pork sausage and vermicelli,A5
58,1,5,A6. *SHRIMP ,"-Rice paper with shrimp, pork, vegetables and vermicelli",A6
68,4,10,V1. Grilled Beef and Spring Roll<br>Bun Bo va cha gio,,V1
69,8,0,T1. *PAD THAI,"Thai rice noodles, egg, bean sprouts, carrots and onions in tamarind and tomato sauce. Garnished with roasted peanuts.",T1
70,8,12,A) Tofu and Vegetable,,T1A
71,4,10,V2. *Grilled Chicken and Spring Roll<br>Bun Ga va cha gio,,V2
72,4,10,V3. *Grilled Pork and Spring Roll<br>Bun Thit nuong va cha gio,,V3
73,4,10,"V4. Grilled Beef<br>Bun Bo	",,V4
74,4,10,V5. Grilled Chicken<br>Bun Ga,,V5
75,4,10,"V6. Grilled Pork<br>Bun thit nuong	",,V6
76,4,0,V7. Stir Fried Lemon Grass with Beef or Chicken and Spicy Chili<br>Bun bo hoac ga xao xa ot ,,V7
78,5,10,G1. Grilled Beef<br>Com Bo,,G1
79,5,10,G2. Grilled Chicken<br>Com Ga,,G2
80,5,10,G3. Grilled Pork Chop<br>Com Suon,,G3
82,5,10,G4. *Grilled Beef and Fried Egg<br>Com Bo va Op la,,G4
83,5,10,G5. *Grilled Chicken and Fried Egg<br>Com Ga va Op La,,G5
84,5,10,G6. Grilled Pork Chop and Fried Egg<br>Com Suon va Op La,,G6
85,5,10,G7. Grilled Pork Chop and Grilled Chicken<br>Com Suon va Ga nuong,,G7
86,5,10,G8. Grilled Beef and Grilled Chicken<br>Com Suon va Ga nuong,,G8
104,9,6.5,"D1. *Fried Bananas W/ Honey, Sesame Seeds and Vanilla Ice Cream",,D1
105,9,6.5,D2. Fried Bananas Sticky Rice w/ coconut cream,,D2
107,10,3.5,B1. *Filtered Vietnamese Coffee with Condensed Milk and Ice,,B1
108,10,3.5,B2. Filtered Vietnamese Hot Coffee with Condensed Milk,,B2
110,10,2.5,"B3. Orange, Apple, Mango Juice",,B3
