MENU,PRICE,NAME,DESCRIPTION,KEY
1,12,*SIGNATURE  PLATTER,"- Crispy shrimp spring roll (1),<br>- Crispy chicken spring roll (1),<br>- Crispy Calamari (4),<br>- Crispy wonton (4), Fresh rolls (2)",A1   
1,7,COCONUT SHRIMP (6),"-Coconut marinated shrimp, golden fried and served with plum sauce",A10
1,7,SHRIMP SATAY SKEWERS (2),"-Marinated with Thai spices and grilled, served with peanut sauce",A10
1,6,CRISPY TIGER SHRIMPS (6),-Crispy breaded tiger shrimps,A11
1,7.5,CRISPY CALAMARI,- Lightly seasoned crispy calamari,A12
1,5,CRISPY TOFU,-Crispy marinated tofu,A13
1,6,*CRISPY WONTON (8),"-Crispy marinated, stuffed chicken/ shrimp wontons",A14
1,8.5,MUSSELS WITH BLACK BEAN SAUCE,#NAME?,A15
1,8,CHICKEN WINGS (8),#NAME?,A16
1,6,*CRISPY SHRIMP SPRING ROLLS (2),-Marinated tiger shrimp and mixed vegetables,A2
1,5,*CRISPY CHICKEN SPRING ROLLS (2),-Ground chicken and mixed vegetables,A3
1,5,CRISPY VEGETABLE SPRING ROLLS (2),- Mixed vegetables,A4
1,5,*FRESH ROLLS (2),-Rice paper with BBQ grilled pork sausage and vermicelli,A5
1,5,*SHRIMP ,"-Rice paper with shrimp, pork, vegetables and vermicelli",A6
1,5,TOFU and VEGGIE FRESH ROLLS (2),"-Rice paper with crispy tofu, vegetables and vermicelli",A7
1,6.5,*CHICKEN SATAY SKEWERS (3) ,"-Marinated with Thai spices and grilled, served with peanut sauce",A8
1,7,BEEF SATAY SKEWERS (3),"-Marinated with Thai spices and grilled, served with peanut sauce",A9
1,6.5,BEEF SATAY SKEWERS (3),"-Marinated with Thai spices and grilled, served with peanut sauce",A9 
10,3.5,*Filtered Vietnamese Coffee with Condensed Milk and Ice,,B1
10,3.5,Filtered Vietnamese Hot Coffee with Condensed Milk,,B2
10,2.5,"Orange, Apple, Mango Juice",,B3
10,3,Perrier Spakling Bottle Water,,B4
10,1.5,Spring Water (Bottle),,B5
10,1.5,Soft Drinks,"(Coke, Diet Coke, Sprite, Ginger Ale, Nestea, Orange C- Plus)",B6
10,4,Fresh Fruit Shakes,"(Avocado, Strawberry, Mango, Jackfruit)",B7
10,4,Mint Lemonade,,B8
10,4,Bubble tea (with pearl) ,"(Taro, Mango, Strawberry, Honeydew, Mint, Coconut)",B9
9,6.5,"*Fried Bananas W/ Honey, Sesame Seeds and Vanilla Ice Cream",,D1
9,6.5,Fried Bananas Sticky Rice w/ coconut cream,,D2
9,6,Mango Sticky Rice,,D3
9,4,Tropical Ice Cream (Mango or Cherry Or Chocolate),,D4
11,0,STIR FRIED BASIL EGGPLANT,Stir fried roasted eggplant w/ mixed vegetables in basil sauce. Served w/ steamed rice,F1
11,12,* SWEET AND SOUR CHICKEN,"Fresh pineapple, onions, green and red peppers glazed with sweet and sour sauce
 served w/ rice
",F10
