ID,MENU,PRICE,NAME,DESCRIPTION,KEY
53,1,12,*SIGNATURE  PLATTER,"- Crispy shrimp spring roll (1),<br>- Crispy chicken spring roll (1),<br>- Crispy Calamari (4),<br>- Crispy wonton (4), Fresh rolls (2)",A1   
296,1,7,COCONUT SHRIMP (6),#NAME?,A10
298,1,7,SHRIMP SATAY SKEWERS (2),#NAME?,A10
299,1,6,CRISPY TIGER SHRIMPS (6),#NAME?,A11
300,1,7.5,CRISPY CALAMARI,#NAME?,A12
301,1,5,CRISPY TOFU,#NAME?,A13
302,1,6,*CRISPY WONTON (8),#NAME?,A14
303,1,8.5,MUSSELS WITH BLACK BEAN SAUCE,#NAME?,A15
304,1,8,CHICKEN WINGS (8),#NAME?,A16
372,1,0.5,A_test,test,A1_A
54,1,6,*CRISPY SHRIMP SPRING ROLLS (2),#NAME?,A2
55,1,5,*CRISPY CHICKEN SPRING ROLLS (2),#NAME?,A3
56,1,5,CRISPY VEGETABLE SPRING ROLLS (2),#NAME?,A4
57,1,5,*FRESH ROLLS (2),#NAME?,A5
58,1,5,*SHRIMP ,#NAME?,A6
293,1,5,TOFU and VEGGIE FRESH ROLLS (2),#NAME?,A7
294,1,6.5,*CHICKEN SATAY SKEWERS (3) ,#NAME?,A8
295,1,7,BEEF SATAY SKEWERS (3),#NAME?,A9
297,1,6.5,BEEF SATAY SKEWERS (3),#NAME?,A9 
107,10,3.5,*Filtered Vietnamese Coffee with Condensed Milk and Ice,,B1
108,10,3.5,Filtered Vietnamese Hot Coffee with Condensed Milk,,B2
110,10,2.5,"Orange, Apple, Mango Juice",,B3
111,10,3,Perrier Spakling Bottle Water,,B4
112,10,1.5,Spring Water (Bottle),,B5
113,10,1.5,Soft Drinks,"(Coke, Diet Coke, Sprite, Ginger Ale, Nestea, Orange C- Plus)",B6
114,10,4,Fresh Fruit Shakes,"(Avocado, Strawberry, Mango, Jackfruit)",B7
115,10,4,Mint Lemonade,,B8
212,10,4,Bubble tea (with pearl) ,"(Taro, Mango, Strawberry, Honeydew, Mint, Coconut)",B9
104,9,6.5,"*Fried Bananas W/ Honey, Sesame Seeds and Vanilla Ice Cream",,D1
105,9,6.5,Fried Bananas Sticky Rice w/ coconut cream,,D2
251,9,6,Mango Sticky Rice,,D3
252,9,4,Tropical Ice Cream (Mango or Cherry Or Chocolate),,D4
120,11,0,STIR FRIED BASIL EGGPLANT,Stir fried roasted eggplant w/ mixed vegetables in basil sauce. Served w/ steamed rice,F1
209,11,12,* SWEET AND SOUR CHICKEN,"Fresh pineapple, onions, green and red peppers glazed with sweet and sour sauce
 served w/ rice
",F10
210,11,12,CRISPY ORANGE BEEF OR CHICKEN,"Fresh onions, green and red peppers glazed with a sweet honey house sauce served w/ rice
",F11
365,11,12,STIR FRIED LEMON GRASS WITH BEEF OR CHICKENandSPICY CHILI ,"Stir fried mixed peppers with onions, lemongrass and hot chili",F12
121,11,12,Tofu and Vegetable,,F1_A
122,11,12,Chicken,,F1_B
123,11,12,Beef,,F1_C
124,11,13,Tiger Shrimp,,F1_D
125,11,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F1_E 
149,11,0,SPICY BASIL FRIED RICE,Fried rice with Thai basil leaf in spicy soya sauce,F2
150,11,12,Tofu and Vegetable,,F2_A
151,11,12,Chicken,,F2_B
152,11,12,Beef,,F2_C
153,11,13,Tiger Shrimp,,F2_D
154,11,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F2_E
155,11,0,PHUKET MANGO,"Stir fried fresh mango with ginger, soya sauce, roasted garlic served w/ rice",F3
156,11,12,Tofu and Vegetable,,F3_A
157,11,12,Chicken,,F3_B
158,11,12,Beef,,F3_C
159,11,13,Tiger Shrimp,,F3_D
